time 	 LH 	 RH
7691	 7691	 7691 
000.029	50.0000	50.0000	
000.041	52.3506	47.6494	
000.071	54.5849	45.4151	
000.144	56.7181	43.2819	
000.226	58.7582	41.2418	
000.260	60.6777	39.3223	
000.327	62.5212	37.4788	
000.390	64.2214	35.7786	
000.455	65.6939	34.3061	
000.513	66.9720	33.0280	
000.574	68.0316	31.9684	
000.641	68.9324	31.0676	
000.706	69.7916	30.2084	
000.761	70.5941	29.4059	
000.826	71.3853	28.6147	
000.890	72.1894	27.8106	
000.954	72.9102	27.0898	
001.014	73.4697	26.5303	
001.073	74.1321	25.8679	
001.142	74.7131	25.2870	
001.206	75.1807	24.8193	
001.262	75.6867	24.3133	
001.325	76.1470	23.8530	
001.390	76.6906	23.3094	
001.455	77.3976	22.6024	
001.514	78.0792	21.9208	
001.576	78.7212	21.2788	
001.642	79.3615	20.6385	
001.706	79.8967	20.1033	
001.762	80.3604	19.6396	
001.825	80.6178	19.3822	
001.890	80.8307	19.1693	
001.954	80.9365	19.0635	
002.014	80.7403	19.2597	
002.074	80.4711	19.5289	
002.142	80.2384	19.7616	
002.207	80.0392	19.9608	
002.286	79.6901	20.3099	
002.325	79.3016	20.6984	
002.390	78.7697	21.2303	
002.455	78.1325	21.8675	
002.514	77.8007	22.1993	
002.574	77.7026	22.2974	
002.643	77.8617	22.1383	
002.699	78.1916	21.8084	
002.756	78.5302	21.4698	
002.827	78.9248	21.0752	
002.890	79.2546	20.7454	
002.954	79.5592	20.4408	
003.014	80.0220	19.9780	
003.075	80.3327	19.6673	
003.142	80.5338	19.4662	
003.206	80.6591	19.3409	
003.262	80.7725	19.2275	
003.326	80.9522	19.0478	
003.389	81.0971	18.9029	
003.454	81.2946	18.7054	
003.513	81.3263	18.6737	
003.574	81.1955	18.8045	
003.642	80.7682	19.2318	
003.706	79.8122	20.1878	
003.763	78.7467	21.2533	
003.827	77.3156	22.6844	
003.890	75.7433	24.2567	
003.954	74.1576	25.8424	
004.014	72.5571	27.4429	
004.074	71.0999	28.9001	
004.142	69.7570	30.2430	
004.206	68.3362	31.6638	
004.262	67.0510	32.9490	
004.327	65.9045	34.0955	
004.390	64.8560	35.1440	
004.455	63.5441	36.4559	
004.515	62.3890	37.6110	
004.574	61.3500	38.6500	
004.641	60.4739	39.5261	
004.706	59.4667	40.5333	
004.763	58.2002	41.7998	
004.826	57.0273	42.9727	
004.890	56.0392	43.9608	
004.954	55.1460	44.8540	
005.014	54.2356	45.7644	
005.071	53.1484	46.8516	
005.144	52.0412	47.9588	
005.207	51.0515	48.9485	
005.263	49.8266	50.1734	
005.326	48.4655	51.5345	
005.391	47.0778	52.9222	
005.455	45.7255	54.2745	
005.515	44.4506	55.5494	
005.574	43.3961	56.6039	
005.641	42.4416	57.5584	
005.706	41.6158	58.3842	
005.762	40.5202	59.4798	
005.826	39.5904	60.4096	
005.890	38.6718	61.3282	
005.955	38.1403	61.8597	
006.014	37.7174	62.2826	
006.074	37.4061	62.5939	
006.135	37.3000	62.7000	
006.207	37.1818	62.8182	
006.255	37.2812	62.7188	
006.319	37.6630	62.3370	
006.383	38.2371	61.7629	
006.447	39.1223	60.8777	
