time 	 LH 	 RH
7701	 7701	 7701 
000.064	50.0000	50.0000	
000.077	49.0363	50.9637	
000.107	48.3648	51.6352	
000.173	47.7048	52.2952	
000.251	47.1331	52.8669	
000.295	46.6439	53.3561	
000.364	46.1287	53.8713	
000.418	45.5668	54.4332	
000.483	44.9232	55.0768	
000.547	44.2348	55.7652	
000.611	43.4672	56.5328	
000.672	42.9600	57.0400	
000.732	42.4233	57.5767	
000.796	41.6955	58.3045	
000.864	40.8502	59.1498	
000.919	40.1257	59.8743	
000.983	39.2815	60.7185	
001.048	38.4573	61.5427	
001.111	37.6674	62.3326	
001.172	37.0045	62.9955	
001.224	36.4567	63.5433	
001.289	35.6951	64.3049	
001.362	35.0125	64.9875	
001.419	34.4128	65.5872	
001.482	33.9356	66.0644	
001.547	33.3873	66.6127	
001.613	32.7552	67.2448	
001.671	32.0159	67.9841	
001.731	31.5400	68.4600	
001.794	31.0120	68.9880	
001.863	30.3887	69.6113	
001.918	29.6373	70.3627	
001.985	28.8309	71.1691	
002.047	27.9525	72.0475	
002.112	27.1832	72.8168	
002.171	26.3795	73.6205	
002.231	25.5793	74.4207	
002.321	24.8226	75.1774	
002.360	24.0817	75.9183	
002.420	23.3881	76.6119	
002.476	22.8113	77.1887	
002.540	22.3974	77.6026	
002.604	21.8141	78.1859	
002.671	21.2254	78.7746	
002.732	20.6925	79.3075	
002.796	20.2072	79.7928	
002.863	19.8055	80.1945	
002.918	19.5297	80.4703	
002.983	19.2309	80.7691	
003.048	18.9241	81.0759	
003.111	18.4915	81.5085	
003.171	18.1567	81.8433	
003.224	17.7805	82.2195	
7703	 7703	 7703 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.053	50.0000	50.0000	
000.056	49.1050	50.8950	
000.119	48.4229	51.5771	
000.187	47.8979	52.1021	
000.251	47.2303	52.7697	
000.306	46.7825	53.2175	
000.371	46.4804	53.5196	
000.436	46.1686	53.8314	
000.499	45.8005	54.1995	
000.559	45.7134	54.2866	
000.619	45.5224	54.4776	
000.688	45.5052	54.4948	
000.752	45.6318	54.3682	
000.807	46.0314	53.9686	
000.871	46.6028	53.3972	
000.928	46.9293	53.0707	
000.992	47.1769	52.8231	
001.052	47.1147	52.8853	
001.112	46.8016	53.1984	
001.180	46.2892	53.7108	
001.244	45.9278	54.0722	
001.300	45.4367	54.5633	
001.364	44.9769	55.0231	
001.428	44.4240	55.5760	
001.492	44.0045	55.9955	
001.558	43.1978	56.8022	
001.621	42.4481	57.5519	
001.687	41.7042	58.2958	
001.744	40.7267	59.2733	
001.800	39.6286	60.3714	
001.864	38.5003	61.4997	
001.928	37.5014	62.4986	
001.992	36.5714	63.4286	
002.052	35.8138	64.1862	
002.112	35.0874	64.9126	
002.180	34.5376	65.4624	
002.244	34.0058	65.9942	
002.300	33.4766	66.5234	
002.371	32.8036	67.1964	
002.435	32.4165	67.5835	
002.500	32.1440	67.8560	
002.552	32.2392	67.7608	
002.612	32.6118	67.3882	
002.685	32.7638	67.2362	
002.751	33.1254	66.8746	
002.808	33.3536	66.6464	
002.871	33.4850	66.5150	
002.935	33.6974	66.3026	
002.999	33.9287	66.0713	
003.058	34.0497	65.9503	
003.119	34.0002	65.9998	
003.187	33.9974	66.0026	
003.250	33.9200	66.0800	
003.300	33.8029	66.1971	
003.364	33.8965	66.1035	
003.428	34.1086	65.8914	
003.492	34.3972	65.6028	
003.553	34.5385	65.4615	
003.618	34.6715	65.3285	
003.680	35.0618	64.9382	
003.744	35.3532	64.6468	
003.800	35.5744	64.4256	
003.864	35.7529	64.2470	
003.928	35.7737	64.2263	
003.992	36.3478	63.6522	
004.052	37.5505	62.4495	
004.112	39.0090	60.9910	
004.180	40.5495	59.4505	
004.244	42.3205	57.6795	
004.300	44.3158	55.6842	
004.364	46.3199	53.6801	
004.428	48.2489	51.7511	
004.492	50.2000	49.8000	
004.552	51.9829	48.0171	
004.612	53.6952	46.3048	
004.680	54.9182	45.0818	
004.744	55.9157	44.0843	
004.801	56.9803	43.0197	
004.864	58.0217	41.9783	
004.928	59.2196	40.7804	
004.992	60.2261	39.7739	
005.052	60.9110	39.0890	
005.112	61.4907	38.5093	
005.180	62.1753	37.8247	
005.244	62.8334	37.1666	
005.304	63.2099	36.7901	
005.370	63.0167	36.9833	
005.435	62.7652	37.2348	
005.500	62.4008	37.5992	
005.559	62.0973	37.9027	
005.619	61.9046	38.0954	
005.688	62.2578	37.7422	
005.751	62.7198	37.2802	
005.807	63.0326	36.9674	
005.871	63.3488	36.6512	
005.935	63.7229	36.2771	
005.999	64.3921	35.6079	
006.059	65.0851	34.9149	
