time 	 LH 	 RH
7701	 7701	 7701 
006.119	65.7359	34.2641	
006.187	66.2133	33.7867	
006.251	66.4896	33.5104	
006.300	66.9492	33.0508	
006.364	67.7118	32.2882	
006.428	68.5929	31.4071	
006.492	69.4523	30.5477	
006.552	70.3870	29.6130	
006.612	71.2938	28.7062	
006.680	72.0572	27.9428	
006.744	72.7964	27.2036	
006.800	73.5595	26.4405	
006.864	74.1653	25.8347	
006.929	74.5587	25.4413	
006.992	74.9525	25.0475	
007.052	75.3187	24.6813	
7692	 7692	 7692 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.026	50.0000	50.0000	
000.030	50.0000	50.0000	
000.078	52.3115	47.6885	
000.144	53.3309	46.6691	
000.205	54.4362	45.5638	
000.269	55.8579	44.1421	
000.334	57.1944	42.8056	
000.397	58.5208	41.4792	
000.453	59.7585	40.2415	
000.518	60.8745	39.1255	
000.581	61.7469	38.2531	
000.645	62.5240	37.4760	
000.705	63.2311	36.7689	
000.770	63.4126	36.5874	
000.835	63.0927	36.9073	
000.898	62.2918	37.7082	
000.953	61.2345	38.7655	
001.017	60.1625	39.8375	
001.081	59.0734	40.9266	
001.145	58.2154	41.7846	
001.205	57.3886	42.6114	
001.269	56.1956	43.8044	
001.333	54.9870	45.0130	
001.398	54.0193	45.9807	
001.453	53.2888	46.7112	
001.517	52.6399	47.3601	
001.582	52.0985	47.9015	
001.645	51.3758	48.6242	
001.707	50.5211	49.4789	
001.768	49.7711	50.2289	
001.833	49.1878	50.8122	
001.897	48.6500	51.3500	
001.953	48.4880	51.5120	
002.018	48.7556	51.2444	
002.081	49.2633	50.7367	
002.138	49.2600	50.7400	
002.204	48.7878	51.2122	
002.268	48.0448	51.9552	
002.333	46.7262	53.2738	
002.398	45.1327	54.8673	
002.446	43.5759	56.4241	
002.510	42.1815	57.8185	
002.581	40.8179	59.1821	
002.644	39.4954	60.5046	
002.705	38.1001	61.8999	
002.769	36.7084	63.2916	
002.833	35.3274	64.6726	
002.890	34.0167	65.9833	
002.952	32.6151	67.3849	
003.010	31.2147	68.7853	
003.074	29.8389	70.1611	
003.138	28.5311	71.4689	
003.200	27.2637	72.7363	
003.263	26.0549	73.9451	
003.331	24.9210	75.0790	
003.397	23.8553	76.1447	
003.453	22.8366	77.1634	
003.517	21.8350	78.1650	
003.580	20.9047	79.0953	
003.644	20.0338	79.9662	
003.704	19.2169	80.7831	
003.769	18.4694	81.5306	
003.833	17.7422	82.2578	
7703	 7703	 7703 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.046	50.0000	50.0000	
000.053	50.0000	50.0000	
000.114	50.0000	50.0000	
000.173	50.4256	49.5744	
000.236	51.0352	48.9648	
000.302	51.8298	48.1702	
000.367	52.7082	47.2918	
000.433	53.3711	46.6289	
000.494	54.0660	45.9340	
000.543	54.5966	45.4034	
000.615	54.9086	45.0914	
000.680	55.3143	44.6857	
000.736	55.7053	44.2947	
000.803	55.6991	44.3009	
000.868	55.5586	44.4414	
000.931	55.4100	44.5900	
000.994	55.2953	44.7047	
001.050	55.1362	44.8638	
001.114	55.0125	44.9875	
001.178	54.7294	45.2706	
001.242	54.1971	45.8029	
001.303	53.5152	46.4848	
001.366	52.9473	47.0527	
001.431	52.4298	47.5702	
001.494	51.7890	48.2110	
001.555	51.5117	48.4883	
001.611	51.0193	48.9807	
001.678	50.5034	49.4966	
001.742	50.0143	49.9857	
001.801	49.5715	50.4285	
001.867	49.0600	50.9400	
001.931	48.5924	51.4076	
001.994	48.1228	51.8772	
002.055	47.2832	52.7168	
002.114	46.3427	53.6573	
002.178	45.3044	54.6956	
002.242	44.3169	55.6831	
002.303	43.1772	56.8228	
002.366	42.1047	57.8953	
002.431	41.2618	58.7382	
002.495	40.2309	59.7691	
002.555	39.0476	60.9524	
002.614	37.9883	62.0117	
002.678	36.9896	63.0104	
002.742	35.8718	64.1282	
002.802	34.6662	65.3338	
002.866	33.6555	66.3445	
002.931	32.5094	67.4906	
002.995	31.4157	68.5843	
003.054	30.5278	69.4722	
003.115	29.7540	70.2460	
003.178	29.0586	70.9414	
003.243	28.3309	71.6691	
003.302	27.7420	72.2580	
003.366	27.1768	72.8232	
003.430	26.7237	73.2763	
003.495	26.5216	73.4784	
003.554	26.5930	73.4070	
003.615	26.8657	73.1343	
003.679	27.3355	72.6645	
003.742	28.0535	71.9465	
003.803	29.0692	70.9308	
003.866	29.9144	70.0856	
003.932	30.9232	69.0768	
003.995	31.7903	68.2097	
004.054	32.5229	67.4771	
004.114	33.2714	66.7286	
004.179	34.1185	65.8815	
004.243	35.0550	64.9450	
004.302	35.8793	64.1207	
004.367	36.5509	63.4491	
004.433	36.7046	63.2954	
004.496	36.5791	63.4209	
004.554	36.2518	63.7482	
004.615	35.7409	64.2591	
004.679	35.2493	64.7507	
004.743	34.6173	65.3827	
004.802	34.0114	65.9886	
004.866	33.1684	66.8316	
004.931	32.1043	67.8957	
004.996	31.0137	68.9863	
005.054	29.9957	70.0043	
005.115	29.0478	70.9522	
005.178	28.1573	71.8427	
005.242	27.1517	72.8483	
005.303	26.2454	73.7546	
005.367	25.3808	74.6192	
005.431	24.6482	75.3518	
005.494	23.9963	76.0037	
005.554	23.3019	76.6981	
005.615	22.5809	77.4191	
005.678	21.8823	78.1177	
005.742	21.2250	78.7750	
005.802	20.6367	79.3633	
005.866	20.1025	79.8975	
005.931	19.6583	80.3417	
005.995	19.3364	80.6636	
006.055	19.0523	80.9477	
006.115	18.7775	81.2225	
006.179	18.4378	81.5622	
006.242	18.2605	81.7395	
006.302	18.2139	81.7861	
006.366	18.3687	81.6313	
006.431	18.8133	81.1867	
006.495	19.2079	80.7921	
006.555	19.8725	80.1275	
006.615	20.8738	79.1262	
006.678	22.0786	77.9214	
006.743	23.4268	76.5732	
006.803	24.7577	75.2423	
006.866	25.7173	74.2827	
006.931	26.7408	73.2592	
006.994	27.4370	72.5630	
007.054	28.3182	71.6818	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.033	50.0000	50.0000	
000.039	52.2232	47.7768	
000.093	54.3569	45.6431	
000.155	56.3805	43.6195	
000.218	58.3491	41.6509	
000.282	60.2599	39.7401	
000.335	62.0967	37.9033	
000.399	63.8497	36.1503	
000.463	65.5151	34.4849	
000.527	67.0949	32.9051	
000.587	68.5739	31.4261	
000.647	69.9570	30.0430	
000.711	71.3102	28.6898	
000.775	72.5811	27.4189	
000.835	73.7918	26.2082	
000.905	74.9803	25.0197	
000.970	76.0948	23.9052	
001.033	77.1415	22.8585	
001.094	78.1373	21.8627	
001.153	79.0785	20.9215	
001.212	79.9483	20.0517	
001.275	80.6980	19.3020	
001.335	81.3443	18.6557	
001.399	81.9259	18.0741	
001.470	82.5029	17.4971	
7693	 7693	 7693 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.025	50.0000	50.0000	
000.032	50.5900	49.4100	
000.094	51.2357	48.7643	
000.158	51.7078	48.2922	
000.222	52.3309	47.6691	
000.283	53.1880	46.8120	
000.343	54.2481	45.7519	
000.407	55.4771	44.5229	
000.473	56.7618	43.2382	
000.530	57.5687	42.4313	
000.595	58.1717	41.8283	
000.657	58.6686	41.3314	
000.722	59.2047	40.7953	
000.782	59.6059	40.3941	
000.842	59.8083	40.1917	
000.905	59.9950	40.0050	
000.973	60.1574	39.8426	
001.029	60.3922	39.6078	
001.093	60.4002	39.5998	
001.159	60.5736	39.4264	
001.223	61.0825	38.9175	
001.281	61.7783	38.2217	
001.344	62.5021	37.4979	
001.406	63.0530	36.9470	
001.474	63.4339	36.5661	
001.530	64.1182	35.8818	
001.594	64.8942	35.1058	
001.658	65.6552	34.3448	
001.723	66.2225	33.7775	
001.783	66.6963	33.3037	
001.842	66.9045	33.0955	
001.907	66.6811	33.3189	
001.974	66.2405	33.7595	
002.030	65.7578	34.2422	
002.093	65.1070	34.8930	
002.158	64.2891	35.7109	
002.222	63.2347	36.7653	
002.282	62.0367	37.9633	
002.342	60.5084	39.4916	
002.406	58.9662	41.0338	
002.474	57.7144	42.2856	
002.530	56.5859	43.4141	
002.593	55.2978	44.7022	
002.659	53.8126	46.1874	
002.723	52.3698	47.6302	
002.782	50.8565	49.1435	
002.843	49.5450	50.4550	
002.906	48.3322	51.6678	
002.974	47.3874	52.6126	
003.030	46.3906	53.6094	
003.094	45.4483	54.5517	
003.158	44.4363	55.5637	
003.223	43.6423	56.3577	
003.282	42.6801	57.3199	
003.343	41.7219	58.2781	
003.406	40.6682	59.3318	
003.475	39.4347	60.5653	
003.530	38.1985	61.8015	
003.596	37.0993	62.9007	
003.659	36.2004	63.7996	
003.724	35.4925	64.5075	
003.783	34.8876	65.1124	
003.842	34.2132	65.7868	
003.907	33.5489	66.4511	
003.974	32.8500	67.1500	
004.030	32.1209	67.8791	
004.094	31.5793	68.4207	
004.159	31.2364	68.7636	
004.223	30.7292	69.2708	
004.282	30.3365	69.6635	
004.342	30.1383	69.8617	
004.406	30.0844	69.9156	
004.474	30.2014	69.7985	
004.529	30.3661	69.6339	
004.595	30.2945	69.7055	
004.658	29.9927	70.0073	
004.723	29.6126	70.3874	
004.783	29.1889	70.8111	
004.843	29.0910	70.9090	
004.907	29.0160	70.9840	
004.975	28.5998	71.4002	
005.026	28.1626	71.8374	
005.087	27.5993	72.4007	
005.157	27.0755	72.9245	
005.223	26.6388	73.3612	
005.282	26.2383	73.7617	
005.342	25.9044	74.0956	
005.407	25.5384	74.4616	
005.474	25.0998	74.9002	
005.529	24.7673	75.2327	
005.594	24.7206	75.2794	
005.659	24.9730	75.0270	
005.722	25.4193	74.5807	
005.782	25.5553	74.4447	
005.842	25.4721	74.5279	
005.906	25.3685	74.6315	
005.974	25.5463	74.4537	
006.030	25.8829	74.1171	
006.095	26.1122	73.8878	
006.160	26.1707	73.8293	
006.223	26.1567	73.8433	
006.275	25.9651	74.0349	
006.335	25.5817	74.4183	
006.410	25.0369	74.9631	
006.467	24.4447	75.5553	
006.530	23.7250	76.2750	
006.595	22.9798	77.0202	
006.658	22.1987	77.8013	
006.722	21.4536	78.5464	
006.782	20.8169	79.1831	
006.843	20.2279	79.7721	
006.905	19.7598	80.2402	
006.973	19.3320	80.6680	
007.030	19.0772	80.9228	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.032	50.0000	50.0000	
000.034	50.3800	49.6200	
000.104	50.9126	49.0874	
000.164	51.2627	48.7373	
000.224	51.4901	48.5099	
000.294	51.8020	48.1980	
000.357	52.2093	47.7907	
000.413	52.3936	47.6064	
000.478	52.7428	47.2572	
000.541	52.8577	47.1423	
000.604	52.6098	47.3902	
000.664	52.0920	47.9080	
000.725	51.2486	48.7514	
000.785	50.5478	49.4522	
000.856	49.8232	50.1768	
000.913	49.2014	50.7986	
000.977	49.0763	50.9237	
001.036	49.0835	50.9165	
001.104	48.9438	51.0562	
001.165	48.9966	51.0033	
001.225	49.2737	50.7263	
001.287	49.3412	50.6588	
001.355	49.1855	50.8145	
001.412	48.8223	51.1777	
001.476	48.2689	51.7312	
001.540	47.2554	52.7446	
001.604	46.1870	53.8130	
001.664	45.1682	54.8318	
001.725	44.0328	55.9672	
001.792	42.9633	57.0367	
001.856	41.9474	58.0526	
001.911	40.9479	59.0521	
001.976	39.7365	60.2635	
002.040	38.3957	61.6043	
002.104	36.9842	63.0158	
002.164	35.4870	64.5130	
002.224	33.9905	66.0094	
002.291	32.5138	67.4862	
002.357	31.1493	68.8507	
002.412	29.8693	70.1307	
002.475	28.6917	71.3083	
002.539	27.7130	72.2870	
002.604	27.0127	72.9873	
002.665	26.4027	73.5973	
002.724	26.0274	73.9726	
002.792	25.6720	74.3280	
002.856	25.1295	74.8705	
002.912	24.5710	75.4290	
002.976	23.8388	76.1612	
003.033	23.2608	76.7392	
003.097	22.6781	77.3219	
003.157	22.1940	77.8060	
003.217	21.8003	78.1997	
003.285	21.5075	78.4925	
003.349	21.2569	78.7431	
003.405	20.8954	79.1046	
003.469	20.3964	79.6036	
003.533	19.8448	80.1552	
003.597	19.2295	80.7705	
003.657	18.6249	81.3751	
003.717	18.1147	81.8853	
003.785	17.6817	82.3183	
7703	 7703	 7703 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.066	50.0000	50.0000	
000.072	52.4629	47.5371	
000.134	54.8049	45.1951	
000.191	57.0362	42.9638	
000.250	59.1542	40.8458	
000.315	61.1643	38.8357	
000.379	63.0765	36.9235	
000.443	64.8940	35.1060	
000.499	66.6154	33.3846	
000.563	68.2457	31.7543	
000.627	69.7913	30.2087	
000.691	71.2476	28.7524	
000.751	72.6352	27.3648	
000.815	73.9556	26.0444	
000.879	75.1958	24.8042	
000.943	76.3663	23.6337	
000.999	77.4588	22.5412	
001.067	78.4045	21.5955	
001.134	79.1659	20.8341	
001.198	79.6201	20.3799	
001.258	79.9156	20.0844	
001.321	79.9203	20.0797	
001.385	79.5592	20.4408	
001.450	78.8030	21.1970	
001.506	77.4762	22.5238	
001.569	75.7558	24.2442	
001.634	74.1811	25.8189	
001.698	72.8658	27.1341	
001.759	71.3099	28.6901	
001.823	69.8168	30.1832	
001.887	68.2373	31.7627	
001.952	66.6744	33.3256	
002.006	65.2823	34.7177	
002.071	64.2590	35.7410	
002.134	63.4926	36.5074	
002.198	63.1637	36.8363	
002.251	62.9731	37.0269	
002.314	62.8763	37.1237	
002.378	62.8047	37.1953	
002.442	63.0109	36.9891	
002.499	63.2999	36.7002	
002.563	63.8527	36.1473	
002.627	64.5641	35.4359	
002.690	65.0829	34.9171	
002.750	65.6965	34.3035	
002.814	66.3672	33.6328	
002.878	67.1804	32.8196	
002.942	68.0848	31.9152	
002.999	69.1019	30.8981	
003.069	70.1703	29.8297	
003.133	71.2307	28.7693	
003.197	72.3729	27.6271	
003.257	73.4703	26.5297	
003.322	74.5365	25.4635	
003.386	75.5697	24.4303	
003.450	76.5864	23.4136	
003.505	77.6243	22.3757	
003.569	78.6598	21.3402	
003.634	79.6440	20.3560	
003.699	80.5919	19.4081	
003.757	81.4862	18.5138	
003.821	82.3256	17.6744	
7693	 7693	 7693 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.021	50.0000	50.0000	
000.025	50.0000	50.0000	
000.077	54.3305	45.6695	
000.146	56.4721	43.5279	
000.211	58.5380	41.4620	
000.270	60.5226	39.4774	
000.331	62.4235	37.5765	
000.394	64.2372	35.7628	
000.457	65.9513	34.0487	
000.519	67.5679	32.4321	
000.583	69.1121	30.8879	
000.646	70.5902	29.4098	
000.711	72.0020	27.9980	
000.771	73.3457	26.6543	
000.830	74.6261	25.3739	
000.894	75.8503	24.1497	
000.958	77.0106	22.9894	
001.017	78.0995	21.9005	
001.082	79.1035	20.8965	
001.140	79.9995	20.0005	
001.210	80.8584	19.1416	
001.270	81.6556	18.3444	
001.331	82.4189	17.5811	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.030	50.0000	50.0000	
000.032	51.8728	48.1272	
000.101	53.7420	46.2580	
000.166	55.7387	44.2613	
000.226	57.7500	42.2500	
000.286	59.6748	40.3252	
000.350	61.5332	38.4668	
000.415	63.3090	36.6910	
000.474	64.9558	35.0442	
000.537	66.4662	33.5337	
000.602	67.8305	32.1695	
000.666	69.1036	30.8964	
000.726	70.3487	29.6513	
000.786	71.5418	28.4582	
000.849	72.7094	27.2906	
000.915	73.8223	26.1777	
000.973	74.8524	25.1476	
001.038	75.7807	24.2193	
001.104	76.5711	23.4289	
001.167	77.2533	22.7467	
001.227	77.6692	22.3308	
001.286	77.8966	22.1034	
001.350	77.5954	22.4046	
001.414	76.8689	23.1311	
001.474	75.5666	24.4334	
001.538	74.2756	25.7244	
001.602	73.0963	26.9037	
001.667	71.8918	28.1082	
001.727	70.4060	29.5940	
001.787	69.3058	30.6942	
001.850	68.2650	31.7350	
001.915	67.3338	32.6662	
001.974	66.6999	33.3001	
002.038	66.6829	33.3171	
002.102	66.8674	33.1326	
002.167	66.8677	33.1323	
002.226	67.1299	32.8701	
002.286	67.4281	32.5719	
002.350	68.0344	31.9656	
002.414	68.5961	31.4039	
002.474	69.2611	30.7389	
002.539	69.9426	30.0573	
002.602	70.7993	29.2007	
002.667	71.7539	28.2461	
002.728	72.7940	27.2060	
002.779	73.8501	26.1499	
002.843	74.8655	25.1345	
002.917	75.8958	24.1042	
002.974	76.9025	23.0975	
003.031	77.8267	22.1733	
003.095	78.6719	21.3281	
003.159	79.5184	20.4816	
003.219	80.3216	19.6784	
003.279	81.1204	18.8796	
003.343	81.8594	18.1406	
003.411	82.5764	17.4236	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.053	50.0000	50.0000	
000.060	52.0809	47.9191	
000.121	54.1616	45.8384	
000.185	56.1530	43.8470	
000.246	58.0252	41.9748	
000.305	59.8673	40.1327	
000.369	61.6295	38.3705	
000.437	63.3210	36.6790	
000.493	64.9155	35.0845	
000.557	66.4495	33.5505	
000.621	67.9229	32.0771	
000.684	69.2834	30.7166	
000.744	70.4882	29.5118	
000.804	71.5432	28.4568	
000.868	72.4534	27.5466	
000.938	73.2104	26.7896	
000.993	73.8015	26.1985	
001.057	74.4369	25.5631	
001.122	74.9354	25.0646	
001.185	75.2497	24.7503	
001.245	75.7154	24.2846	
001.305	76.0032	23.9968	
001.368	76.2690	23.7310	
001.437	76.2781	23.7219	
001.494	76.1906	23.8094	
001.550	75.8609	24.1391	
001.621	75.1168	24.8832	
001.685	73.5820	26.4180	
001.744	71.8863	28.1137	
001.805	69.8866	30.1134	
001.869	67.8703	32.1297	
001.936	66.0453	33.9547	
001.993	64.3539	35.6461	
002.057	62.5253	37.4747	
002.121	60.3344	39.6656	
002.185	58.0448	41.9552	
002.245	55.7309	44.2691	
002.305	53.4885	46.5115	
002.370	51.2535	48.7465	
002.437	49.1334	50.8666	
002.493	47.0763	52.9237	
002.558	45.0886	54.9114	
002.622	43.1593	56.8407	
002.685	41.3487	58.6513	
002.745	39.7103	60.2897	
002.805	38.3370	61.6630	
002.869	37.1222	62.8778	
002.936	36.0207	63.9793	
002.993	34.9562	65.0438	
003.058	33.7921	66.2079	
003.121	32.5843	67.4157	
003.185	31.4989	68.5011	
003.245	30.4654	69.5346	
003.305	29.4697	70.5303	
003.368	28.6342	71.3658	
003.437	27.7792	72.2208	
003.493	26.9927	73.0073	
003.557	26.2980	73.7020	
003.622	25.6312	74.3688	
003.686	25.0386	74.9614	
003.746	24.2996	75.7004	
003.805	23.4808	76.5192	
003.868	22.6026	77.3974	
003.937	21.8129	78.1871	
003.993	21.0595	78.9405	
004.057	20.3601	79.6399	
004.121	19.7495	80.2505	
004.186	19.1656	80.8344	
004.245	18.5501	81.4499	
004.305	17.9609	82.0391	
7703	 7703	 7703 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.057	50.0000	50.0000	
000.060	51.2405	48.7595	
000.118	52.2173	47.7827	
000.182	53.0204	46.9796	
000.246	53.2385	46.7615	
000.310	53.3273	46.6727	
000.370	53.4528	46.5472	
000.430	53.3736	46.6264	
000.498	53.3117	46.6883	
000.564	53.2865	46.7135	
000.619	53.2430	46.7570	
000.683	53.2220	46.7780	
000.747	52.9884	47.0116	
000.811	52.7028	47.2972	
000.871	52.5536	47.4464	
000.931	52.1851	47.8149	
000.998	51.5481	48.4519	
001.062	50.8876	49.1124	
001.119	50.0741	49.9259	
001.182	49.4957	50.5043	
001.247	49.2994	50.7006	
001.312	49.3573	50.6427	
001.370	49.3398	50.6603	
001.429	49.2194	50.7806	
001.498	49.1682	50.8318	
001.564	49.3106	50.6894	
001.618	49.3875	50.6125	
001.682	49.4263	50.5737	
001.746	49.5428	50.4572	
001.811	49.7655	50.2345	
001.871	49.9456	50.0544	
001.924	50.1374	49.8626	
001.998	50.2292	49.7708	
002.064	49.9281	50.0719	
002.119	49.4252	50.5748	
002.182	48.7593	51.2407	
002.241	48.1241	51.8759	
002.310	47.5442	52.4558	
002.370	47.3209	52.6791	
002.430	46.9564	53.0436	
002.498	46.3908	53.6092	
002.563	45.5957	54.4043	
002.617	45.0631	54.9369	
002.683	44.4763	55.5237	
002.747	43.9210	56.0790	
002.811	43.2157	56.7843	
002.870	42.2841	57.7159	
002.930	41.4133	58.5867	
002.998	40.7047	59.2953	
003.064	39.9950	60.0050	
003.118	39.1194	60.8806	
003.183	38.1605	61.8395	
003.247	37.1522	62.8478	
003.310	36.0960	63.9040	
003.370	35.0991	64.9009	
003.432	34.1816	65.8184	
003.498	33.3559	66.6441	
003.562	32.4479	67.5521	
003.617	31.4497	68.5503	
003.683	30.3795	69.6205	
003.746	29.2655	70.7345	
003.810	28.1269	71.8731	
003.870	27.0632	72.9367	
003.931	26.0253	73.9747	
003.998	25.0094	74.9906	
004.061	24.1746	75.8254	
004.119	23.5236	76.4764	
004.183	23.2352	76.7648	
004.246	23.0519	76.9481	
004.310	22.9786	77.0214	
004.371	23.0467	76.9533	
004.430	23.2693	76.7307	
004.499	23.3605	76.6395	
004.563	23.4793	76.5207	
004.618	23.4707	76.5293	
004.683	23.5044	76.4956	
004.746	23.5720	76.4280	
004.809	23.6511	76.3489	
004.871	23.8401	76.1599	
004.932	23.9012	76.0988	
004.998	24.0008	75.9992	
005.063	23.9487	76.0513	
005.118	23.5784	76.4216	
005.183	22.9384	77.0616	
005.247	22.1941	77.8059	
005.311	21.4208	78.5792	
005.371	20.6128	79.3872	
005.431	19.7888	80.2112	
005.498	19.0028	80.9972	
005.563	18.2459	81.7541	
005.618	17.5142	82.4858	
7703	 7703	 7703 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.026	50.0000	50.0000	
000.037	52.2351	47.7649	
000.085	54.4363	45.5637	
000.154	56.5080	43.4920	
000.217	58.3654	41.6346	
000.277	59.9380	40.0620	
000.343	61.3214	38.6786	
000.407	62.4921	37.5079	
000.471	63.5944	36.4056	
000.526	64.6186	35.3814	
000.591	65.6310	34.3690	
000.648	66.7961	33.2039	
000.717	67.9452	32.0548	
000.778	69.0553	30.9447	
000.842	70.1722	29.8278	
000.906	71.2204	28.7796	
000.970	72.1392	27.8608	
001.027	72.9320	27.0680	
001.090	73.4752	26.5248	
001.154	74.0319	25.9681	
001.218	74.6662	25.3338	
001.279	75.4634	24.5366	
001.343	76.4236	23.5764	
001.407	77.3777	22.6223	
001.469	78.2647	21.7353	
001.527	79.0476	20.9524	
001.590	79.8374	20.1626	
001.654	80.5306	19.4694	
001.718	81.1519	18.8481	
001.778	81.8210	18.1790	
001.842	82.4612	17.5388	
7693	 7693	 7693 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.050	50.0000	50.0000	
000.057	50.1551	49.8449	
000.111	50.3021	49.6979	
000.179	50.6267	49.3733	
000.245	50.9039	49.0961	
000.303	51.0889	48.9111	
000.369	51.8370	48.1630	
000.431	53.0485	46.9515	
000.495	54.4262	45.5738	
000.555	55.8140	44.1860	
000.615	57.2739	42.7261	
000.679	58.6888	41.3112	
000.744	60.1447	39.8553	
000.804	61.6409	38.3591	
000.867	63.1925	36.8075	
000.932	64.6892	35.3108	
000.995	66.0769	33.9231	
001.055	67.4028	32.5972	
