time 	 LH 	 RH
7691	 7691	 7691 
000.024	50.0000	50.0000	
000.037	50.5603	49.4397	
000.073	51.1005	48.8995	
000.138	51.7160	48.2840	
000.219	52.3079	47.6921	
000.268	52.9970	47.0030	
000.325	53.6051	46.3949	
000.387	54.3138	45.6862	
000.453	54.9265	45.0735	
000.516	55.5563	44.4437	
000.575	56.0395	43.9605	
000.636	56.3290	43.6710	
000.699	56.4149	43.5851	
000.767	56.6915	43.3085	
000.824	56.7842	43.2158	
000.887	57.0839	42.9161	
000.952	57.5646	42.4354	
001.016	57.9955	42.0045	
001.076	58.6860	41.3140	
001.136	59.2332	40.7668	
001.200	59.7530	40.2470	
001.268	60.0749	39.9251	
001.323	60.1797	39.8203	
001.388	60.3877	39.6123	
001.452	60.6305	39.3695	
001.515	60.6782	39.3218	
001.578	60.9284	39.0716	
001.635	61.0040	38.9960	
001.703	61.0780	38.9220	
001.768	60.8206	39.1794	
001.824	60.6169	39.3831	
001.887	60.3058	39.6942	
001.954	60.0963	39.9037	
002.016	59.8628	40.1372	
002.076	59.4911	40.5089	
002.138	59.1840	40.8160	
002.205	59.0044	40.9956	
002.278	59.2081	40.7919	
002.317	59.4375	40.5625	
002.388	59.2948	40.7052	
002.451	59.0211	40.9789	
002.516	58.9320	41.0680	
002.576	58.8665	41.1335	
002.635	59.0786	40.9214	
002.703	59.2886	40.7114	
002.768	59.5477	40.4523	
002.824	59.8926	40.1074	
002.888	60.0904	39.9096	
002.953	60.1549	39.8451	
003.009	60.1565	39.8435	
003.072	60.1266	39.8734	
003.135	59.9059	40.0941	
003.203	59.6995	40.3005	
003.268	59.3168	40.6832	
003.323	58.8032	41.1968	
003.388	58.3079	41.6921	
003.453	57.8257	42.1743	
003.515	57.3298	42.6702	
003.576	56.8440	43.1560	
003.636	56.4250	43.5750	
003.703	55.7923	44.2077	
003.769	55.7923	44.2077	
003.823	55.7923	44.2077	
003.888	55.7923	44.2077	
003.952	55.7923	44.2077	
004.017	55.7923	44.2077	
004.076	55.7923	44.2077	
004.137	55.7923	44.2077	
004.204	55.7923	44.2077	
004.267	55.7923	44.2077	
004.323	55.7923	44.2077	
004.388	55.7923	44.2077	
004.452	55.7923	44.2077	
004.517	55.7923	44.2077	
004.576	55.7923	44.2077	
004.636	55.7923	44.2077	
004.703	55.7923	44.2077	
004.768	55.7923	44.2077	
004.824	56.5062	43.4938	
004.888	56.9040	43.0960	
004.952	57.0867	42.9133	
005.016	56.9523	43.0477	
005.075	56.7967	43.2033	
005.136	56.6561	43.3439	
005.203	56.1658	43.8342	
005.267	55.6860	44.3140	
005.323	55.3781	44.6219	
005.388	55.2199	44.7802	
005.452	54.8328	45.1672	
005.516	54.5352	45.4648	
005.576	54.6077	45.3923	
005.635	54.1705	45.8295	
005.703	53.6151	46.3849	
005.767	53.2189	46.7811	
005.824	53.0374	46.9626	
005.887	53.0846	46.9154	
005.952	53.0075	46.9925	
006.016	52.8500	47.1500	
006.076	52.7667	47.2333	
006.136	52.4142	47.5858	
006.204	52.0970	47.9030	
006.268	52.0460	47.9540	
006.324	52.3187	47.6813	
006.389	52.6348	47.3652	
006.453	52.8485	47.1515	
006.516	53.2322	46.7678	
006.577	53.2902	46.7098	
006.636	53.5036	46.4964	
006.704	53.7211	46.2789	
006.768	53.8568	46.1432	
006.824	53.8108	46.1892	
006.888	53.4849	46.5151	
006.951	52.8578	47.1422	
007.016	52.1501	47.8499	
7692	 7692	 7692 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.060	50.0000	50.0000	
000.063	49.6037	50.3963	
000.125	49.2909	50.7091	
000.181	49.6154	50.3846	
000.245	50.2319	49.7681	
000.309	51.0101	48.9899	
000.373	51.9391	48.0609	
000.433	52.5831	47.4169	
000.497	53.1066	46.8934	
000.561	53.3157	46.6843	
000.625	53.0110	46.9890	
000.682	52.7191	47.2809	
000.745	52.3926	47.6074	
000.809	51.8205	48.1796	
000.873	51.0358	48.9642	
000.933	50.2174	49.7826	
000.997	49.5095	50.4905	
001.061	48.8986	51.1014	
001.125	48.2556	51.7444	
001.181	47.5826	52.4174	
001.245	46.8230	53.1770	
001.309	46.0115	53.9885	
001.373	45.0616	54.9384	
001.433	44.0100	55.9900	
001.504	42.9274	57.0726	
001.569	41.8859	58.1141	
001.632	40.7964	59.2036	
001.688	39.7245	60.2755	
001.752	39.0248	60.9752	
001.816	38.9310	61.0690	
001.882	39.0632	60.9368	
001.941	38.8802	61.1198	
002.004	38.6778	61.3222	
002.068	38.5431	61.4569	
002.133	37.9415	62.0585	
002.189	37.2878	62.7122	
002.252	36.5237	63.4763	
002.317	35.8869	64.1131	
002.380	35.4768	64.5232	
002.441	35.1543	64.8457	
002.505	34.8506	65.1494	
002.569	34.6058	65.3942	
002.633	34.6659	65.3341	
